;Name;Description;Followers
71;Quartz;Quartz is a guide to the new global economy. Email us at hi@qz.com.;70,204
72;Facebook Design;Designing for the global diversity of human needs.;70,173
73;Cuepoint;Medium’s Premier Music Publication: An ear for the new, a heart for the classics;70,172
74;Thought Pills;Handpicked thoughts about life, entrepreneurship and business for real human beings. Home to inspiring life lessons, creativity, writing and self improvement stories on Medium.;69,875
75;Mother Jones;Smart, fearless journalism;69,591
76;IDEO Stories;"""It doesn't occur to most people that everything is designed"" - Bill Moggridge";67,490
77;Timeline;News in Context;66,820
78;Poets Unlimited;Six Years of poetry-only publishing, PoetsUnlimited was a diverse, engaging and authentic poetry magazine. For most of that time a daily publication, it was always diverse and original, and free-to-read by all.;66,713
79;Digital Diplomacy;Technology, digital, and innovation in government and foreign policy;66,480
80;Discord Blog;(╯°□°）╯︵ ┻━┻;65,588
81;Marker;Making you smarter about business. A new publication from Medium.;65,584
82;Marketing And Growth Hacking;Everything Marketing and Growth Hacking.;61,271
83;The Cooper Review;Funny Because It’s True;60,989
84;Bullshit.IST;we just playing;59,460
85;Google Earth and Earth Engine;For developers, scientists, explorers and storytellers;58,929
86;Femsplain;We publish stories to change 💛 and minds.;58,748
87;The Establishment;"The conversation is much more interesting when everyone has a voice. Media funded and run by women; new content daily.";58,683
88;Curiosity Never Killed the Writer;Collecting words, phrases, pops of poetry, and all things about writing. Refer to our guidelines for submitting. https://www.facebook.com/curiosityneverkilledthewriter;58,650
89;Dribbble;Dribbble is the world’s best community where designers share, grow, and get hired.;58,555
90;GV Library;Advice, lessons, and tips from GV partners and our community of entrepreneurs.;58,462
91;The Synapse;Authentic voices in education. To join us, tweet @synapsepub.;57,831
92;U.S. Department of State;Voices from the U.S. Diplomatic and Foreign Affairs Community;57,546
93;Foggy Bottom (Archive);Voices from the U.S. Department of State (2015–2017);57,423
94;Pointer IO;Pointer is a reading club for developers. It’s a window into what other current and future CTOs are reading and thinking about. Subscribe at www.pointer.io;56,700
95;The Blog Of Darius Foroux;Authentic articles on productivity, habits, decision making, and personal finance.;55,707
96;Both Sides of the Table;Perspectives of a 2x entrepreneur turned VC at @UpfrontVC, the largest and most active early-stage fund in Southern California. Snapchat: msuster;55,418
97;Magenta;For people who think about the relationship between people, technology, and design like it's their job.;53,101
98;AndroidPub;The Pub(lication) for Android & Tech, focused on Development;52,630
99;The Year of the Looking Glass;A collection of essays by Julie Zhuo on design, building products, and observing life.;51,952
100;IoT For All;Expert analysis, simple explanations, and the latest advances in IoT, AR/VR/MR, AI & ML and beyond! To publish with us please email: contribute@iotforall.com;50,709
101;Future Travel;covering travel in a new age;50,447
102;Jigsaw;A team at Alphabet that uses technology to make the world safer.;50,346
103;100 Naked Words;Est. May 2016. 100 vulnerable words, one day at a time. Every day.;50,107
104;World Economic Forum;The World Economic Forum, committed to improving the state of the world, is the International Organization for Public-Private Cooperation;49,920
105;Los Angeles Times;Stories from the Los Angeles community and beyond;49,906
106;THOSE PEOPLE;A black magazine for people too hip for black magazines. Get at us: stopthosepeople@gmail.com;49,865
107;Hi, My Name Is Joan;Tech / startup influencer. Director of Comms @ Flare, Mentor @ Microsoft for Startups, Transgender woman and Glitch fiend 🍕💅 she/her pronouns my loves!;49,246
108;500ish;A collection of posts by M.G. Siegler of around 500 words.;49,220
109;Hostfully;Wherever you travel, make it your home. hostfully.com;49,209
110;The Belladonna Comedy;Comedy and satire by women and marginalized genders, for everyone.;48,804
111;Chatbots Magazine;Chatbots, AI, NLP, Facebook Messenger, Slack, Telegram, and more.;48,417
112;Adventures in Consumer Technology;No IT Dept: You're On Your Own;48,324
113;Psychology of Stuff;Interesting thoughts at the intersection of technology, psychology, and business;48,219
114;The Message;A Pandaemonium Revolver Collection. Season 2 stars @anildash @alanalevinson @ftrain @hipstercrite @itsthebrandi @jamielaurenkeiles @vijithassar @yungrama @zeynep. Season 1 available on DVD shortly.;48,052
115;Fit Yourself Club;only you can define fitness. #BodyAndMind;46,707
116;Starts With A Bang!;The Universe is out there, waiting for you to discover it.;46,165
117;The Bold Italic;Celebrating the character and free-wheeling spirit of the Bay Area.;46,151
118;How We Get To Next;A magazine of the future — because we believe the future matters now.;45,804
119;Shopify UX;The latest thinking on commerce, craft, and culture from the Shopify UX team.;45,777
120;WRITE LAB;Doing my best. English is my 3rd language, so bear with me.;45,658
121;Invisible Illness;We don't talk enough about mental health.;45,520
122;Athena Talks;A hub of conversation to help young women mature, budding professionals become leaders and leaders become advocates for equality.;45,220
123;The Coil;Literature to change your lightbulb.;44,223
124;Code Like A Girl;Welcome to Code Like A Girl, a space that celebrates redefining society's perceptions of women in technology. Share your story with us!;42,431
125;ZORA;Unapologetic. Ours. A Medium publication for women of color.;41,828
126;Extra Newsfeed;the same political rants you see on Facebook, but they're well written.;41,049
127;Level Up Coding;Coding tutorials and news. The developer homepage gitconnected.com;40,875
128;How Pants Work;Inseamly humor.;40,821
129;Publishous;How to be your best self.;40,606
130;Girls Who Code;Conversations on closing the gender gap in tech;40,338
131;Flutter Community;Articles and Stories from the Flutter Community;39,828
132;Google Cloud - Community;A collection of technical articles published or curated by Google Cloud Developer Advocates. The views expressed are those of the authors and don't necessarily reflect those of Google.;39,787
133;Oracle Groundbreakers;Aggregation of articles from Oracle engineers, Groundbreaker Ambassadors, ACEs, and the developer community on all things Oracle Cloud and its technologies. The views expressed are those of  the authors and not necessarily those of Oracle. Contact @jimgris or @brhubart;39,556
134;Track Changes;Postlight is a digital product studio in NYC. We publish a newsletter and a podcast, and host lots of events. We're glad to talk-email hello@postlight.com or visit postlight.com;38,755
135;ProAndroidDev;The latest posts from Android Professionals and Google Developer Experts.;38,579
136;Virtual Reality Pop;Virtual Reality, Augmented Reality, Oculus Rift & Go & Quest, PSVR, HTC Vive, Gear VR, Steam, Daydream, 360 Video and more.;38,134
137;ITNEXT;ITNEXT is a platform for IT developers & software engineers to share knowledge, connect, collaborate, learn and experience next-gen technologies.;37,295
138;Angular Blog;The latest news and tips from the Angular team;37,087
139;Buffer Stories;Our journey to greater productivity, more transparency, and a happier work culture.;36,625
140;Deep Dives;Bodies of Evidence;35,109
141;Microsoft Design;Putting technology on a more human path, one design story at a time.;34,231
142;Startups & Venture Capital;Top publication dedicated to startups, venture capital, & technology. Want to submit content editors@redwhale.co A Redwhale Publication→ https://redwhale.co;33,947
143;MEL Magazine;There's no playbook for how to be a guy;33,364
144;Becoming Human: Artificial Intelligence Magazine;Latest News, Info and Tutorials on Artificial Intelligence, Machine Learning, Deep Learning, Big Data and what it means for Humanity.;32,908
145;Endless;A conversation about money, behavior and decentralization.;32,584
146;Path to Product;Actionable, on-the-job insights from real teams for early and mid-career product managers.;32,312
147;Data Driven Investor;from confusion to clarity not insanity;32,155
148;Refinery29;Refinery29 is the #1 new-media brand for smart, creative and stylish women everywhere.;32,092
149;For The Interested;Actionable ideas to help you produce, promote and profit from your creations.;31,837
150;Greylock Perspectives;Greylock Partners backs entrepreneurs who are building disruptive, market-transforming consumer and enterprise software companies.;31,785
151;The Post-Grad Survival Guide;Medium’s Millennial Work, Money and Life Advice Publication. We discuss our post-grad blues, successes, failures, and everyday life right here. Featuring topics related to work, relationships, travel, finances, and so much more.;31,784
152;Heated;Food from every angle: A publication from Medium x Mark Bittman;31,661
153;iOS App Development;Stories and technical tips about building apps for iOS, Apple Watch, and iPad/iPhone;31,587
154;The Index @ General Assembly;The Index spotlights the leaders, trends, and skills driving innovation in technology. Learn about General Assembly's programs in coding, data, design, digital marketing, and product management at ga.co.;31,334
155;Age of Awareness;Stories providing creative, innovative, and sustainable changes to the education system;31,085
156;Eudaimonia and Co;Eudaimonia & Co;31,083
157;Flutter;Flutter is Google's mobile UI framework for crafting high-quality native interfaces on iOS and Android in record time. Flutter works with existing code, is used by developers and organizations around the world, and is free and open source. Learn more at https://flutter.dev;30,974
158;Lady Pieces;Show Us Your Piece;30,825
159;Galleys;A home for books and authors on Medium;30,553
160;JavaScript In Plain English;New articles every day.;30,533
161;Angular In Depth;The place where advanced Angular concepts are explained;29,755
162;Chatbots Life;Best place to learn about Chatbots. We share the latest Bot News, Info, AI & NLP, Tools, Tutorials & More.;29,522
163;Severe Contest;Insights from The Economist’s digital playbook;29,152
164;Informed and Engaged;Our goal is to foster informed and engaged communities, which we believe are essential for a healthy democracy.;28,985
165;Literally Literary;We've Got a Story for You;28,633
166;Android Developers;The official Android Developers publication on Medium;28,616
167;Navigating the Sea of Singledom;Setting sail…;28,506
168;Thoughts On Journalism;Taking on the problems and challenges in journalism. Spreading ideas, passions and new ways of thinking about media. A publication run by Media Lab Bayern.;27,654
169;MindOrks;Our community publishes stories worth reading on Android Development;27,491
170;historical snapshots;history, stories;27,382
171;Analytics Vidhya;Analytics Vidhya is a community of Analytics and Data Science professionals. We are building the next-gen data science ecosystem https://www.analyticsvidhya.com;27,263
172;UX Power Tools;A publication for designers, written by designers.;27,085
173;.Sketch App;All about the sketch app;26,955
174;Tech Doodles;Thoughts on tech and social norms that pop into my head and onto paper.;26,744
175;Apollo GraphQL;We build the Apollo Platform to help developers adopt GraphQL the right way.;26,670
176;Bits and Pieces;The best of frontend development articles, tutorials, and news.;26,534
177;NEW ORDER;Produção colaborativa de histórias e tendências para instigar você. Somos a primeira e maior publicação brasileira no Medium, vamos juntos?;26,340
178;IOTA;Official IOTA Foundation blog;25,987
179;Google Developers Experts;Experts on various Google products talking tech.;25,926
180;Tenderly;A vegan magazine that’s hopefully devoted to delicious plants, liberated animals, and leading a radical, sustainable, joyful life;25,766
181;TED Fellows;The TED Fellows program is a global network of visionaries in their fields who collaborate across disciplines to create positive change around the world.;25,565
182;MIT Technology Review;MIT Technology Review;25,420
183;IxDA;The Interaction Design Association (IxDA) is a member-supported organization, focusing on interaction design issues for the practitioner, no matter their level of experience.;25,295
184;Unsplash Blog;Behind the scenes building the open photography movement at Unsplash.;25,256
185;Ask Me About My Uterus;Essays, interviews, and research about reproduction health, menstruation, endometriosis, PCOS, PMDD, menopause, miscarriage, identity, infertility and more.;25,159
186;Mybridge for Professionals;Read more and achieve more;25,068
187;The Design Team;Comics about a design team for a tech startup in Silicon Valley.;24,931
188;Traffic and Copy;The fastest growing publication on Medium (20k+ followers!) We teach you how to get traffic for free and write copy which converts. Now accepting new writers. Contact: v@magnific.com // Founders: Vin Clancy & Charlie Price;24,895
189;Salesforce Experience and Design;A collection of stories, case studies, and ideas from Salesforce design teams;24,890
190;TensorFlow;TensorFlow is an end-to-end open source platform for machine learning.;24,573
191;CheddarNews;TECH | MEDIA | NEWS | CULTURE;24,552
192;Student Voices;voice is inherent. school is not.;24,301
193;60 Months to Ironman;Oh, shit. Making my biggest, most secret, most insane goal public. I used to weigh 368 pounds. I'm going to enter an Ironman race when I'm as old as my mother was when she died.;24,088
194;The Polymath Project;Figuring out how to live in a world we don't understand;24,018
195;This Publication is Moved;Go to https://nomadlist.com/blog;23,978
196;Oxford University;Oxford is one of the oldest universities in the world. We aim to lead the world in research and education. Contact: digicomms@admin.ox.ac.uk;23,864
197;The Development Set;Stories and conversations about global health and social impact.;23,621
198;Medium Coronavirus Blog;A real-time resource for Covid-19 news, advice, and commentary.;23,619
199;Google Play Apps & Games;Tips, trends, and industry thoughts for app and game developers building businesses on Google Play.;23,559
200;Modus;Helping designers thrive. A Medium publication about UX/UI design.;23,346
201;A Cloud Guru;Stories from our cloud computing community;23,218
202;Intuition Machine;Deep Learning Patterns, Methodology and Strategy;23,208
203;Arc Digital;The internet’s best opinion page;22,931
204;Product Coalition;The world's largest independent Product Management community. 1m+ readers. 3,500+ articles. 400+ writers. 7,000+ Slack members. Join us at members.productcoalition.com;22,916
205;Algolia Stories;Thoughts & experiences from the Algolia team & community;22,876
206;Dropbox Design;We believe joy is the engine that powers the best ideas. We’re designing a more enlightened of working, so you can love the way you work. More on dropbox.design.;22,849
207;CROSSIN(G)ENRES;Poetry, fiction, and creative non fiction including memoir, personal essay, academic, experimental. Our work regularly deals with intersectional social justice, including HIV issues. All that and our eclectic collection of crazy dog stories too.;22,832
208;Go Into The Story;Official Screenwriting Blog of The Black List;22,707
209;INCERTO;Chapters in Progress from The Incerto Collection (The Black Swan, Antifragile, etc.);22,534
210;Sexography;Conversations about sex from all around the world;22,397
211;Festival Peak;words about experiencing music.;22,389
212;Code for America Blog;Writing and thinking about government that works for people, by people, in the 21st century.;22,206
213;Rantt Media;Speaking Truth To Power;21,964
214;Frontend Weekly;It's really hard to keep up with all the front-end development news out there. Let us help you. We hand-pick interesting articles related to front-end development. You can also subscribe to our weekly newsletter at http://frontendweekly.co;21,947
215;theuxblog.com;Get your daily fill of UX design, user research, user experience strategy, interaction design, and design thinking stories. Curated by Nicholas Tenhue. Remember to press the Follow button! (http://theuxblog.com);21,916
216;Thoughts And Ideas;An attempt to bring all heart-touching and thought provoking writings under one roof to make an impact.;21,821
217;Women 2.0;Women 2.0 is a global brand for women in tech, working to create a society where gender parity, diversity and inclusion are the norm.;21,733
218;Love the Problem;Thoughts on using Continuous Innovation to build products your customers cannot refuse. By the makers of LEANSTACK and Lean Canvas: https://leanstack.com;21,680
219;Points of interest;The official Mapbox blog;21,609
220;Amy Poehler's Smart Girls;Founded by artist Amy Poehler and producer Meredith Walker, Amy Poehler's Smart Girls organization is dedicated to helping young people cultivate their authentic selves.;21,591
221;Monday Note;Media, Tech, Business Models viewed from Palo Alto and Paris;21,545
222;Hackster Blog;Hackster.io, an Avnet community, is the world’s largest network for hardware & software developers. With 1 million members and 17,000+ projects, beginners and professionals can learn and share how to build robotics, industrial automation systems, AI-powered machines, and more.;21,287
223;The New York Times;Welcome to The New York Times on Medium — a hub for conversation about business, technology and news affecting your life.;21,265
224;MyErotica.com;Refined erotic fiction igniting your deepest desires. Edited by Rose MyErotica: rose@metart.com;21,044
225;Basic Income;Articles about Universal Basic Income (UBI);20,861
226;Witness;New thinking and new talent in visual journalism and storytelling.;20,823
227;Kaizen Habits;Science-based answers and insights for productivity, wealth, health and happiness;20,815
228;Thoughts on Media;Hand-picked articles about journalism, media, and writing. Curated by @awwstn;20,752
229;Built to Adapt;How software is changing the way society and businesses are built.;20,677
230;Serious Eats;The members-only home for Serious Eats on Medium.;20,648
231;React Native Training;Stories and tutorials for developers interested in React Native;20,636
232;Coinmonks;Coinmonks is a non-profit Crypto educational publication. Follow us on Twitter @coinmonks Our other project — https://coincodecap.com;20,624
233;Instagram Engineering;Stories from the people who build @Instagram;20,457
234;ConsenSys Media;News, insights, and education on all things decentralization from leaders in the blockchain industry;20,442
235;ACLU;For nearly 100 years, America's guardian of liberty;20,435
236;Node.js Collection;Community-curated content for the millions of Node.js users.;20,324
237;Airbnb Design;We’re a cross-disciplinary group of designers, researchers, writers, filmmakers, architects, photographers and more. This collection takes you behind the scenes of our work. Visit Airbnb.design for more information about our design culture, inspiration, work and community events.;20,228
238;UX Collective 🇧🇷;We believe designers are thinkers as much as they are makers. Artigos de UX & Product Design.;20,224
239;Fast Company;Fast Company is the world's leading progressive business media brand, with a unique editorial focus on innovation in technology, leadership, world changing ideas, and design.;20,107
240;Accelerated Intelligence;For people who want to find time to learn, learn better, and use their knowledge to boost their income.;19,989
241;Building The Atlantic;Stories from The Atlantic's design, engineering, and product team.;19,974
242;Figma Design;The collaborative interface design tool.;19,931
243;Dear Design Student;Advice on design from people who work for a living.;19,802
244;VideoCoin;Powering the Internet's Largest Ecosystem;19,432
245;Down the rabbit hole;Facts, stories, and people from across the Wikimedia movement;19,212
246;ILLUMINATION;We curate and disseminate outstanding articles from diverse domains and disciplines to create fusion and synergy.;19,098
247;Medium.design;Stories from Medium’s design team;18,914
248;Sidewalk Talk;Where technologists and urbanists discuss the future of cities.;18,792
249;The Productivity Revolution;Curated Writings that helps you achieve more with same, dramatically improve productivity and reignite top-line growth.;18,744
250;MSF Passport;Written by our aid workers: doctors, nurses, logisticians, engineers- all give their own voices and bear witness;18,646
251;The Black List Blog;This is the official blog of The Black List;18,445
252;Vue.js Developers;Helping web professionals up their skill and knowledge of Vue.js;18,292
253;MIT MEDIA LAB;News, ideas, and goings-on from the Media Lab community;18,270
254;Product Management Insider;The exclusive data and insights that enable 17,000+ product managers to win. Subscribe via email at productmanagementinsider.com. We are powered by Alpha.;18,232
255;Daily assets for Designers and Developers;This publication is for designers and developers who want to find and share resources to build apps and sites.;18,174
256;Several People Are Coding;The Slack Engineering Blog;18,075
257;B The Change;To inform and inspire people who have a passion for using business as a force for good in the world.;17,967
258;World Positive;Reimagining trillion-dollar sectors through a world positive lens.;17,935
259;Dev Channel;Developers Channel - the thoughts, opinions and musings from members of the Chrome team.;17,873
260;The Partnered Pen;MPP friends writing about life, love, and everything else in between together.;17,821
261;Good Audience;The front page of Deep Tech. Don't miss the latest advancements in artificial intelligence, machine learning, and blockchain. Straight from practitioners.;17,790
262;Mindful Entrepreneurship;Publication for entrepreneurs who aspire to make a difference regardless of their age, origin, or gender.;17,766
263;From the WTF? Economy to the Next Economy;How work, business, and society face massive, technology-driven change. A conversation growing out of Tim O’Reilly’s book WTF? What’s the Future and Why It’s Up To Us, and the Next:Economy Summit.;17,707
264;Obvious Ventures;#worldpositive;17,419
265;The Spike;The science of the brain, from the scientists of the brain;17,302
266;Lean Startup Circle;The Lean Startup Circle is a worldwide community of Lean Startup practitioners, educators, consultants, and investors;17,167
267;Yahoo News;Coverage of the 2016 election from the Yahoo News team. For more stories, visit the Yahoo News Politics section: https://www.yahoo.com/news/politics;17,066
268;Decentralize.Today;Your Daily Dose of Decentralization;16,989
269;Sketch;All the latest news and updates from the Sketch team.;16,895
270;Self-Driving Cars;A publication covering news, predictions, and opinions about self-driving cars and other autonomous vehicles.;16,738
271;RE: Write;Thoughts and stories from Studio, a product design masters program at CU Boulder, dedicated to re:working, re:designing and re:imagining the world of design and technology.;16,465
272;INSURGE intelligence;We are crowdfunding adversarial investigations into power, to empower people and save the planet. Join us via www.patreon.com/nafeez;16,458
273;Waymo;Waymo — formerly the Google self-driving car project — is making our roads safer and easier to navigate for all. One step at a time.;16,216
274;BCG Henderson Institute;Ideas and inspiration from the BCG Henderson Institute.;16,204
275;Uber Design;We are passionate about the pursuit of ideas that put people first. Work with us: uber.com/design. Follow us on Twitter: @DesigningUber.;15,894
276;Refactoring UI;Learn UI design through case studies on improving user-submitted projects with specific tactics and actionable advice.;15,776
277;Swift Programming;The Swift Programming Language;15,760
278;Thinking Design;Stories and insights from the design community.;15,613
279;Swing Left;We’re flipping the Senate, the White House and key state legislatures by empowering volunteers and donors everywhere to help win critical elections.;15,431
280;Cloudflare;Select highlights from blog.cloudflare.com;15,361
281;Parts Unknown;Get a taste for the unexpected! Travel with Anthony Bourdain as he takes incredible adventures to extraordinary locations.;15,294
282;The Bigger Picture;Oddly specific. Universally applicable. Submit your writing to biggerpicturemedium@gmail.com.;15,231
283;Streamlabs Blog;Official Streamlabs Blog. All of the shenanigans going on in the world of Streamlabs.;15,225
284;Haptical;Awesome things you need to know about virtual reality and augmented reality.;15,197
285;~POETRY AFTER DARK~;-Closed to Submissions- Poetry of love, passion and desire. Come and enjoy yourself. Established May 2016.;15,111
286;InfoSec Write-ups;A collection of write-ups from the best hackers in the world on topics ranging from bug bounties and CTFs to vulnhub machines, hardware challenges and real life encounters. In a nutshell, we are the largest InfoSec publication on Medium. Maintained by Hackrew;15,065
287;The Vue Point;The Official Vue.js Blog;14,976
288;CineNation;We’re your best friends who love talking about movies and television.;14,906
289;Box Insights;Digital Business trends & Updates on Box and Customers;14,826
290;National Novel Writing Month;The NaNoWriMo community on Medium. We  share and support each other through November's madness and beyond. We welcome submissions about NaNoWriMo, fiction writing, and promoting novels.;14,756
291;Medium Engineering;Stories from the team building Medium.;14,737
292;Tech x Talent;Insights at the intersection of tech and talent.;14,680
293;Ruby Inside;Ruby articles and posts;14,548
294;Healthcare in America;the human side of medical care in this country.;14,525
295;Token Economy;Keeping track of new developments in the distributed ledger technology space. We’ll feature interesting stories on our Medium channel, while the weekly newsletter will go straight to the inbox, so make sure you subscribe at weekly.tokeneconomy.co;14,275
296;Insight;Insight - Your bridge to a thriving career;14,235
297;Sia Blog;Blog posts related to Sia and cryptocurrency.;14,214
298;Scribe;Stories that matter. Emotion first and foremost.;14,214
299;Math Hacks;Tutorials with a fresh perspective.;14,126
300;Invironment;DIY Nature;14,119
301;Monzo Bank;Insider insights from the team building the bank of the future.;14,092
302;Inc Magazine;Welcome to Inc Magazine, where you can find everything you need to know to start and grow your business now.;13,954
303;Desk of van Schneider;Stories from the Desk of van Schneider written by Tobias van Schneider. New stories usually appear first on my private email list which you can sign up to at vip.vanschneider.com — Enjoy!;13,889
304;Pandemic Diaries;the new not normal, in words, drawings, photographs;13,695
305;Designing Atlassian;Tales from the Atlassian design team;13,553
306;The Junction;The Junction is a digital crossroads devoted to stories, culture, and ideas. Our interests are legion.;13,547
307;Ueno.;Ueno. A digital agency in SF, NYC, LA and Reykjavík.;13,490
308;The Black Box of Product Management;Shining light on the PM discipline;13,433
309;Design Voices;A publication for designers, developers and data nerds - from the aspiring to the expert, and anywhere in between. Content created and curated by Fjord, design and innovation from Accenture Interactive.;13,235
310;Guardian US;Stories, conversations and writers from Guardian US;13,182
311;Still Crew;More Respect, More Fresh;13,126
312;FutureSin;Futurism articles bent on cultivating an awareness of exponential technologies while exploring the 4th industrial revolution.;13,076
313;Blueprint;Blueprint is where the workplace of the future is realized. We cover the changing nature of work, and present points of view on how work gets done. Blueprint is powered by Box, the modern content management platform.;13,019
314;Humanizing Tech;Helping you build what's next: biologic intelligence, personal hedge fund, editable DNA, superhuman augmentation, video as an app, SAAS space platforms.;12,855
